GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
East Garfield Park,20881,20567,19730.99942,6670.991714,4692.152755,3402.820606,3143.77324,1074.568976,574.7631739,171.9289521,29.61519338,1174.000001,701.5405568,17303.45886,125,427.0000002,18777.43849,14179.51037,6973.428067,5693.043816,1280.384252,7206.0823,200.9526348,5448.091181,2405.289522,332.9100061,2286.11427,279.9242156,143.8531676,24725,3157.287693,2575.705371,775.9878676,211.9722704,11366.90764,2386.54115,3842.844289,2483.948492,842.914743,1182.68739,627.9715812,3550.331024,1487.764299,715.9168116,417.9705377,387.9792032,160.9913347,22817.61749,6720.95321,1490.926027,5230.246575,1624.814559,8346.026026,714.986301,387.9849314,2222.835616,2610.812328,2403.406849,5.380954458,930.9547948,1458.650684,1308.912329,4647.508218,1769.188702,1738.708219,2439.663013,3148.723288,839.9452052,178.9863013,609.9462744,690.9601392,146.0000001,44.00000004,177293.9249,7214,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,1243,895,861,727,577,3762,Health Care,Accommodation and Food Service,Construction,Administration,Professional,844,567,540,465,304,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,2764,1115,515,447,262,Outside of Chicago,Austin,East Garfield Park,North Lawndale,Humboldt Park,1734,135,115,89,70,,,,8465.804858,,,,,,,,,,,4.22344441,1236.988524,58.8350693,0.047563149,208.1052652,0.168235405,9.221605528,0.007454884,38.66357761,0.031256214,82.52456646,0.066714092,74.81390382,0.060480677,412.4637664,0.33344187,n/a,n/a,183.0512476,0.147981363,169.3095216,0.136872346,2473.559793,1444.740036,1173.88215,1628.771232,4078.436745,1668.78683,2642.516466,2565.466203,58.9809359,200.9064123,2305.578855,1898.734834,255.9809359,366.9289424,1275.824956,708.9168103,242.9168109,309.9999996,155.9999998,942.9410742,607.9722701,286.9688041,48.00000001,17703.68621,366.8058023,18070.49202,17271.84252,798.6494969,243.8294849,17271.84252,576.6494969,56.00000002,0,11,7,53.99999997,43.00000001,10.99999999,40.00000004,235,207,20296,25,118,,,,,,,,,,,,,,,,,,,,,,,,
East Side,23653,23042,24194.41614,8149.510496,5032.383176,4255.36428,4184.543009,1454.568589,769.9818886,348.0647017,31.52554065,3524.225859,19772.80265,802.6380224,46.86595915,47.88365014,24190.06223,17845.88551,10859.99482,9214.427869,1610.705292,6985.890688,158.965409,8992.415161,6618.342486,987.8230432,1066.700621,299.5792786,19.96973273,0,885.293892,2538.883747,2286.107544,1187.497794,14223.45816,4270.51674,5065.228564,2530.457768,686.9422705,1267.046257,403.2665628,1534.613649,2133.794842,1146.717101,1016.40291,791.0343856,274.7140554,45700.93911,6897.276943,4597.258735,2300.40278,998.7465141,7896.419385,4864.93814,213.5235293,1622.90799,916.2957856,272.7829948,6.222284351,102.8983054,491.3387726,3618.524973,3683.657333,1941.325042,350.6270486,2275.082607,3582.126577,1363.805911,324.77724,3087.832503,1267.287608,117.8681877,117.9898606,124211.0953,7683,Health Care,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,976,938,784,750,707,1480,Administration,Transportation,Accommodation and Food Service,Wholesale Trade,Construction,307,299,173,112,108,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3373,1311,373,294,263,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,804,263,56,48,37,,,,17741.99071,,,,,,,,,,,7.507907813,1908.480789,465.4091111,0.24386366,80.89510598,0.042387173,11.95156023,0.006262342,58.42465405,0.030613174,99.84503438,0.0523165,112.3958631,0.058892845,739.7226814,0.387597657,n/a,n/a,209.7259625,0.109891576,130.1108161,0.068175072,1289.301286,1426.350041,1263.609287,2918.016329,5416.046633,911.8031868,1481.23031,1081.772021,18.90367559,81.8769697,980.991376,2477.583469,442.4311136,663.571019,1371.581337,1133.616155,619.3469436,333.6048612,180.6643505,2034.053032,1785.402892,212.696116,35.95402309,15645.37677,6818.846169,22464.22294,5910.847233,16553.37571,5424.598733,5910.847233,15927.116,538.4284458,0,0,16.00000003,0,8.000000016,62.8312608,1.000000002,6951,16113,242,57,290,,,,,,,,,,,,,,,,,,,,,,,,
Edgewater,62198,56521,57022,8112,17065,12563,10756,4962,2329,1235,38.49183075,31379,8760.000002,7689,7321,1873,53828.00001,51177.00001,35265.00001,33235.00001,2030,15912,2345.000001,30442.00001,11558,1576,14211,2430.000001,667.0000004,254809.9999,11007,13352,3798,723,44989.00001,4283.000001,6593.000002,6555.000001,2183,14380,10995,7313,6423.000001,4919,2995,3481,3749.000001,53182.64015,28880,10485,18395,3759,32639.00001,2269.000002,401.0000001,1851.000001,2669.000002,25439,4.388785979,1142,5975.000001,11026,14496.00001,1945.837068,17368,10106,3698.000002,1021.000001,446.0000003,2017,4285,2236,1743,255769.2308,26706,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,3535,3425,2941,2910,2254,6684,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Education,1464,1451,1005,568,440,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8737,5745,3430,1494,843,Outside of Chicago,Edgewater,West Ridge,Rogers Park,Uptown,2354,843,375,346,343,,,,7090.571132,,,,,,,,,,,1.748266343,1111.664635,148.2653715,0.133372392,355.0674219,0.319401563,24.59957346,0.022128592,77.29219217,0.069528336,61.80290234,0.055594916,6.56974237,0.005909824,348.5721282,0.313558709,n/a,n/a,81.26459945,0.073101722,8.23070339,0.007403945,14835,9260.000001,2512,2273,10468,866,18412,5154.999999,194.9999999,641.9999999,4317.999999,7865,359,2104,5401.999999,4899.999999,1262,2104,1534,10206,6956,2553.999999,695.9999997,38884.00001,15686,54570.00001,34563.00001,20007,8575.000001,34563.00001,7545,2781,684.0000011,815.0000004,638.9999998,130,1698,4177.000001,1538.000001,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,,,,,,,
Edison Park,11328,11187,11566.8755,2716.585374,2169.487936,2834.101865,2142.41019,858.5909771,638.4316238,207.2675374,40.73724957,9616.489757,1157.224347,223.0000002,285.2815616,284.8798376,11558.81468,9112.214978,6661.183673,6527.386321,133.7973517,2451.031305,295.7292408,6080.558429,4903.370334,179.0372701,741.6441338,173.1335254,83.37316571,0,286.4892187,1588.583201,1981.345415,719.8582608,8432.741418,382.388484,1725.129076,1614.759489,523.6798226,2457.409175,1729.375371,436.3916402,608.5400197,540.7267811,678.5640811,838.5413843,1473.084447,101213.0685,4575.848353,3565.216362,1009.686928,305.9404219,4880.806195,3194.017075,149.2083334,151.7916667,287.9606272,1097.828493,6.280762937,133.6666668,599.3679925,3102.270898,1045.500638,1954.534594,363.3356273,1511.837922,1788.658894,997.4542563,219.5194955,246.9826373,925.5163121,1725.022393,667.9913683,367926.8471,6205,Public Administration,Education,Health Care,Retail Trade,Professional,842,829,719,522,509,2613,Administration,Professional,Accommodation and Food Service,Health Care,Finance,791,372,268,196,179,Outside of Chicago,The Loop,Near North Side,Edison Park,Near West Side,2981,1592,281,190,189,Outside of Chicago,Edison Park,Norwood Park,Austin,Jefferson Park,1457,190,110,46,46,,,,16958.38739,,,,,,,,,,,2.053389701,726.2698244,379.0417535,0.52190211,40.01631175,0.055098409,5.992233786,0.008250699,23.77620074,0.032737421,10.74289189,0.014791874,9.081289906,0.012504017,236.621007,0.325803164,n/a,n/a,20.23249875,0.027858102,0.765636974,0.001054205,1358.583965,1442.135523,679.1359083,1095.992957,2937.999181,124.2618992,1637.849172,283.5656527,0,24.73733892,258.8283138,705.0123875,152.6423152,190.5336663,361.8364059,528.6099372,132.4245825,202.8930637,193.292291,2986.662689,2107.636127,763.322719,115.703843,9757.38781,1018.20704,10775.59485,9213.600386,1561.994464,556.7715221,9213.600386,520.1175414,508.8955756,5.706997098,3.804664732,27.20192829,0,0,475.7595719,20.50818531,10572,463,19,200,74,,,,,,,,,,,,,,,,,,,,,,,,
Englewood,40222,30654,23792,6851.999999,5416,3410,4823.000001,1838.000001,1068,385.0000002,33.82945249,172.0000001,1025,22392,75.99999996,126.9999999,23632,18042,9049.999999,6625.999999,2423.999999,8991.999999,239.0000001,6119.999999,2974.999999,274,2627,132.9999999,111,14364.99996,4568.999988,3214.999991,1054.999997,261.9999993,15085,3549.000001,5332.000001,4102,846.0000001,903.0000001,353,5157.000001,2194.000001,858,392.0000002,374.9999998,125,21274.57002,9101.000002,2318.000001,6783.000002,4997.000002,14098.00001,3303.000001,280.0000002,4717.000001,1884.000001,3815.000003,5.697948862,1173.000001,2281.000001,3986.000002,6658.000002,1942.407635,2569.000002,4570.000001,4873.000001,1494.000001,592.0000004,1642.000001,521,96.00000005,51.99999997,102805.3977,7434,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1343,1033,888,854,595,1611,Health Care,Retail Trade,Other Service,Education,Accommodation and Food Service,937,254,115,113,89,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3057,1056,575,348,127,Outside of Chicago,Englewood,South Shore,Auburn Gresham,Chatham,631,93,59,57,49,,,,7286.512421,,,,,,,,,,,2.325856734,1966.306763,237.9332692,0.121005162,305.8259428,0.15553318,13.53014058,0.006880992,38.24085596,0.019448062,169.9385677,0.086425257,13.49783213,0.006864561,720.5653543,0.366456225,n/a,n/a,43.64886924,0.022198403,423.1259312,0.215188158,3990.000001,2090.000001,1245,1776,4763.000001,1817.000001,4338.000001,3719.999991,223.9999993,384.9999993,3110.999992,2921.999991,566.9999978,590.9999983,1763.999995,843.9999976,374.9999987,353.9999989,115,855.9999976,746.999998,88.99999958,20.00000001,20913,743.9999995,21657,20602,1054.999999,403.9999997,20602,807.9999993,3.999999997,4.999999985,21.99999998,0,0,25.99999997,39.99999998,149.9999999,178,347,39352,27,318,,,,,,,,,,,,,,,,,,,,,,,,
Forest Glen,18165,18508,19112.72496,4865.824346,2723.620955,4075.290447,3911.494607,1787.378275,1247.01926,502.0970725,42.95340384,13281.26965,2870.698767,215.0000001,2336.659476,409.0970726,19086.62613,14959.24659,10030.66807,9633.307937,397.3601378,4928.578511,379.5842232,9078.683698,6586.891013,975.7602904,1304.880336,157.1520581,54.00000012,0,287.3174601,2469.643991,3083.965985,1150.471655,13611.92989,862.4884436,2184.025423,2214.29738,576.1163327,4312.171033,3462.83128,790.7432436,895.6531535,756.9594598,752.3378381,1147.306306,2647.828829,111770.6373,6990.828831,6200.41936,791.6967748,257.6981984,7249.916135,6198.083876,243.3935486,344.9999999,193.9999999,269.4387103,7.150426318,220.9999999,593.3032275,4645.838713,1789.774194,1950.915612,266.1290327,1681.470968,3613.290326,1353.767743,335.2580645,261.1351354,849.6891891,2903.864866,2145.373874,437720.9096,8655,Health Care,Education,Professional,Public Administration,Retail Trade,1146,1100,866,849,700,4641,Health Care,Retail Trade,Professional,Accommodation and Food Service,Construction,1416,680,639,299,256,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3287,2294,600,389,267,Outside of Chicago,Forest Glen,Portage Park,West Ridge,Belmont Cragin,2654,267,117,110,86,,,,16459.52238,,,,,,,,,,,2.698422645,2046.163795,822.3349002,0.401891042,33.14679539,0.016199483,6.030397212,0.002947172,47.55156325,0.023239373,42.83604649,0.020934808,10.39096141,0.005078265,605.4751519,0.29590747,n/a,n/a,471.4327181,0.230398328,6.965260763,0.003404058,1692.261262,2180.725225,1139.193694,1978.648649,5159.184686,401.0000001,1831.644145,406.4535147,0,4,402.4535147,1119.428571,110.2154193,225.3854876,783.827664,720.632653,197.3741497,199.2947845,323.9637188,4547.566893,2989.274376,1178.929705,379.3628117,14013.79651,3817.451224,17831.24773,12058.65093,5772.596806,2001.842227,12058.65093,1865.368905,779.5769824,150.6242381,491.2801068,54.17606706,143.1360521,694.8086894,1224.073554,369.5522111,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,,,,,,,
Fuller Park,3420,2876,2398.903029,409.8634606,433.2583405,337.8456173,546.2792872,456.0480998,152.6082236,63.00000007,50.52317462,85.14274674,159.2552368,2137.966643,12.49340585,4.044996157,2391.105265,2044.106945,877.9143484,619.3532549,258.5610935,1166.192596,4.197677253,593.8841042,301.5081058,53.44931053,221.0902493,17.16573919,0.67069926,0,607.5549232,305.7271429,149.9404672,29.10489009,1793.73856,433.782778,740.2971305,285.6082238,133.2769591,142.9635379,57.8099303,614.3157901,260.3157898,117.263158,26.05263155,76.26315799,2.36842101,22920.25862,1096.578948,307.2813146,793.8275156,434.5263163,1536.065709,262.7987684,109.8952774,505.8603699,187.5112938,469.9999997,5.161661644,59.7289528,193.0369611,609.1601645,674.1396308,1946.368612,473.1416836,445.1170436,472.4004111,94.80492816,50.60164273,204.8421055,94.73684215,4.578947286,0.315789468,117202.524,874,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,166,109,98,88,65,1323,Manufacturing,Wholesale Trade,Retail Trade,Health Care,Accommodation and Food Service,464,263,246,166,138,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,280,128,80,52,29,Outside of Chicago,Chicago Lawn,Austin,Gage Park,West Englewood,593,38,32,27,24,,,,7902.463211,,,,,,,,,,,3.236460406,457.2246308,27.78755718,0.06077441,27.83046104,0.060868245,3.915838232,0.008564364,16.70779975,0.036541775,20.0906594,0.043940457,34.17512093,0.074744707,262.7924242,0.574755616,n/a,n/a,11.25368288,0.024613029,52.67108712,0.115197397,538.2105267,299.1578951,132.9473686,126.2631579,521.947369,70.68421056,574.6315794,428.3699485,30.99999986,129.9999994,267.3699493,419.693124,87.48334486,100.36995,231.8398291,114.0340181,42.35648463,44.1339475,27.54358597,103.7158041,94.87810032,8.214032582,0.62367116,2157.466006,131.1463829,2288.612389,2095.784903,192.8274863,77.08032915,2095.784903,166.4398743,0.19162836,4.59908064,0.43116381,0.59085411,0.11178321,0.23953545,14.2075974,6.015969036,18,116,3225,6,55,,,,,,,,,,,,,,,,,,,,,,,,
Gage Park,39193,39894,39302,13727,9768.000001,7652,4978.000001,2195.000001,726,256,28.60855868,1502,36072,1503,206,19,39254.99999,28315.99996,18466.99997,16139.99998,2318.999996,9848.999984,214.9999994,15357.99998,8629.999985,3055.999995,2905.999998,736.9999984,28.99999994,161804.9999,1614.000001,3338.000002,3106.000004,1742.000002,22400,7932,9023.000001,2990,998.0000002,1122,335.0000002,2736.999999,3076.999999,1918.999999,968.9999996,803.9999998,293.9999998,41182.00837,9799.999997,5378.999999,4420.999999,954.9999997,10755,5313.999998,117.0000001,2683.000001,1908.999999,690.0000002,5.734553391,119.0000001,1034.999999,5313.999999,4287,1946.617112,1139,3593,3807.999999,1288,926.9999995,2810.999999,2416.999999,97.99999997,44.99999998,145660.4426,11415,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,Health Care,1636,1377,1352,1338,1151,4071,Administration,Wholesale Trade,Retail Trade,Accommodation and Food Service,Other Service,1159,947,424,421,253,Outside of Chicago,The Loop,Near North Side,Near West Side,Lower West Side,5170,1316,654,538,279,Outside of Chicago,Gage Park,Chicago Lawn,Brighton Park,New City,1787,237,175,111,99,,,,15177.46776,,,,,,,,,,,0.89778021,1406.90761,408.1234035,0.290085433,155.7799188,0.110725052,18.57284357,0.013201182,63.74817877,0.045310849,96.28750946,0.068439113,135.3451927,0.096200484,482.2241373,0.342754659,n/a,n/a,25.59949451,0.018195576,21.22693112,0.015087651,1712.999999,1555.999999,1658,4872.999998,7693.999998,1662,2105.999999,1515,9.99999997,74.99999997,1430,4140.000004,480.0000003,1179.000001,2481.000002,1906.000003,804.0000015,523.0000008,579.0000005,2067.000002,1542.000001,484.0000006,40.99999996,21076.99997,14761.99998,35838.99994,4718.999994,31119.99995,12453.99998,4718.999994,30712.99995,123.9999997,86.99999998,38.99999981,0,18.99999996,0,137.0000003,0.999999994,4811,31079,2743,161,399,,,,,,,,,,,,,,,,,,,,,,,,
Garfield Ridge,36101,34513,36395.99999,9337.999997,6468.999998,7413.999999,7527.999999,3123,1711,812.9999999,39.06218145,15662,18302,1657.999999,421.9999996,352,36136.00001,28782.99998,18510.99999,17068.99999,1441.999999,10271.99999,294.9999998,16333.99999,12459.99999,1633.999999,1887.999998,303.9999998,48.00000002,172269.9995,1094.000004,4089.000016,5094.000024,1976.000009,25350,4305.999998,8219.999998,5430,2010,3716,1668,1899,2418.000001,2107.000001,1596,2145.000001,2064,71398.37083,12229,10106,2147,667.0000004,12920,10742,128.0000002,711.0000001,691.0000004,583.0000001,6.050268097,294,1933,9362.999999,1330,1956.358173,607.0000002,2720,6530.999999,2305,756.9999999,1502.000001,7337.000003,1107,126,211028.5714,15270,Education,Public Administration,Retail Trade,Health Care,Manufacturing,1794,1545,1478,1455,1398,12798,Transportation,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,6125,1706,1071,1031,602,Outside of Chicago,The Loop,Near North Side,Near West Side,Garfield Ridge,6526,3667,723,671,594,Outside of Chicago,Garfield Ridge,Clearing,West Lawn,Ashburn,7643,594,263,196,178,,,,16655.8203,,,,,,,,,,,1.765647941,2706.399862,1032.127624,0.381365532,95.91036003,0.035438355,15.27734459,0.005644896,100.9106565,0.037285938,55.41493921,0.020475518,114.2368706,0.042209901,1206.513278,0.445800081,n/a,n/a,44.18728768,0.016326962,41.82150094,0.015452817,3026.000001,3733.000001,1689.000001,3781.000001,8776.000003,1088,3453.000001,1141.000004,23.0000001,101.0000005,1017.000004,2949.00001,893.0000031,572.0000019,1484.000005,2067.000009,828.0000029,581.0000034,658.0000026,5784.000028,4416.000023,1192.000003,176.0000017,25721.99998,8389.999996,34111.99998,17870.99999,16240.99999,6007.999998,17870.99999,12537.99999,2897.999999,257.9999999,46.99999989,42.99999996,0,0,456.9999995,0,24878,5948,4419,328,528,,,,,,,,,,,,,,,,,,,,,,,,
Grand Boulevard,28006,21929,22784,6209.999999,4421.999998,5157.999999,3730.999999,1883,1029,350.9999999,36.93581253,615,402.9999999,21090,160,515.9999998,22501.99999,17587,10936,9267.999999,1655.999999,6650.999999,491.9999998,8426.999999,4378.999999,642.9999998,2845,355,205,0,3982.000005,4554.000006,1437.000003,410.0000003,15076,2186,3049.999999,3755.999999,1363.999999,2672.999999,2047,4448.999996,2132.999998,1299,752.9999998,820.9999996,927.9999996,32348.13085,10382.99999,2484.999999,8051.999997,1853.999999,12391,1316,708.9999997,668.9999998,2957.999999,6738.999997,4.986321688,3478.999999,2889.999999,2049.999999,3971.999999,1971.420966,3381.999998,3397.999999,4024.999999,1113,473,661.0000001,976.9999995,621.9999995,224.9999999,231930.0518,8275,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1529,962,961,810,748,2711,Health Care,Management,Retail Trade,Accommodation and Food Service,Education,998,518,329,284,158,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2105,2004,895,628,263,Outside of Chicago,Grand Boulevard,Auburn Gresham,South Shore,Chatham,818,156,92,79,76,,,,9082.341974,,,,,,,,,,,3.993456955,1113.23469,62.3469595,0.056005225,255.1584716,0.229204564,7.311707538,0.006567984,42.3507279,0.038042947,112.6449431,0.101187058,8.173339553,0.007341973,378.1351924,0.339672484,n/a,n/a,22.50879661,0.020219273,224.6045517,0.201758491,5114.999996,2419.999998,1438.999999,1408.999999,4740.999997,1637.999999,5641.999995,3499.000004,257.0000005,687.0000004,2555.000003,2726.000003,385.0000004,457.0000004,1884.000003,1293.000002,383.0000007,515.0000004,395.0000008,2476.000004,1751.000003,561.0000007,164.0000003,20500,603.0000003,21103,20235,867.9999999,229,20235,381.9999998,36.99999999,47.99999997,9,0,0,0,277.0000001,115.0000001,173,236,27370,21,206,,,,,,,,,,,,,,,,,,,,,,,,
Greater Grand Crossing,38619,32602,30804.99999,8097.999996,7222.999997,5106.999998,6258.999998,2269,1107,741.9999998,35.24969363,340,373.9999996,29625.99999,0,464.9999996,30256.00001,24190.99999,14005.99999,11004,3001.999998,10184.99999,581.0000001,10007,4912.999999,827.9999999,4020.999999,168.9999997,75.99999996,137075.0001,5006.999998,5047.999998,1599.999999,574.9999995,20700.99999,2777.999999,5813.999998,7017.999998,1536.999999,2202,1352,5842.000001,2775.000001,1653.000001,1061.000001,588.0000003,311.0000002,26955.5874,12230,3764,8465.999997,3438.000002,15668,4588.000001,315.9999998,3754,2225,4776.999997,5.631458387,355.9999999,1531,5145.999998,8635.000001,1768.348581,3156.999999,5861.999998,4272,1793,584.0000002,1945.000001,1666.000001,39.00000002,104.0000002,144370.8609,9357,Health Care,Administration,Accommodation and Food Service,Retail Trade,Education,1801,1132,937,936,881,2975,Health Care,Education,Retail Trade,Wholesale Trade,Accommodation and Food Service,720,571,335,269,214,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3181,1841,845,478,212,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1051,158,129,102,93,,,,10047.689,,,,,,,,,,,1.348821508,2269.356472,375.5309915,0.165479067,327.6659895,0.144387184,21.2105906,0.009346522,81.69968422,0.036001256,255.3135631,0.11250483,41.08107122,0.01810252,992.3470063,0.437281237,n/a,n/a,34.78453036,0.015327927,139.7230453,0.061569457,4872.000002,3549.000001,1972.000001,1837.000001,6646.000002,2635,5584.000003,3807,65.99999996,164.0000001,3577,3605.999998,520.9999998,854.9999995,2229.999999,1617.999998,822.9999994,445.9999993,348.9999996,1959.999999,1637.999999,268.9999999,52.9999999,28486.99999,323.9999995,28810.99999,28145.99999,664.9999992,186.9999996,28145.99999,372.9999997,6.999999996,0,0,22.99999999,0.999999996,0,109.9999999,150.9999996,146,276,37779,26,392,,,,,,,,,,,,,,,,,,,,,,,,
Hegewisch,9781,9426,9240.583857,2338.489503,1602.616824,1684.63572,2297.45699,651.4314111,501.0181112,164.9352983,40.5159,3614.77414,5144.197348,460.3619778,0.134040869,21.11634983,9218.937774,7547.114504,4316.005187,3988.572137,327.2947098,3231.109316,59.03459113,3819.584845,2980.657519,278.1769578,376.2993801,145.4207215,39.03026721,0,406.7061031,1110.116241,1622.892438,326.5022035,6304.541836,773.4832597,2492.771437,1452.542232,570.0577291,644.953742,370.7334372,986.3863507,718.2051578,529.2828992,366.5970899,616.9656147,249.2859447,51565.99913,3466.723057,2575.741262,890.5972194,498.2534853,3964.580611,2807.061856,37.47647137,622.0920084,125.704214,159.2170051,6.162316024,272.101694,724.6612273,1720.475025,1247.342664,1956.945202,265.372951,920.9173937,1943.873417,688.1940895,146.2227595,1425.167497,1027.712393,91.13181249,32.01013942,140757.5795,3653,Education,Health Care,Manufacturing,Public Administration,Retail Trade,441,407,381,363,345,2062,Manufacturing,Retail Trade,Wholesale Trade,Finance,Accommodation and Food Service,1011,263,211,109,106,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1642,852,149,119,100,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,1418,140,100,31,21,,,,18224.14581,,,,,,,,,,,2.96392943,3350.912518,374.4685393,0.111751213,34.06545333,0.010166023,6.81290548,0.002033149,48.01465851,0.014328831,17.41745767,0.005197825,301.3562005,0.089932578,1562.028084,0.466150064,n/a,n/a,579.7949938,0.173026001,426.9542249,0.127414316,1110.698714,1124.649959,371.3907132,859.9836707,2239.953367,170.1968134,1226.76969,834.2279688,18.09632411,120.1230287,696.008616,780.4165242,150.5688859,220.4289792,409.4186591,529.3838374,379.6530508,104.3951378,45.33564879,1216.946957,999.5970984,157.3038823,60.04597587,7019.623238,1604.153836,8623.777075,4816.152768,3807.624306,1165.401272,4816.152768,3512.884013,32.57155475,12,0,171.9999997,0,0,78.16873911,0,6553,2820,130,32,246,,,,,,,,,,,,,,,,,,,,,,,,
